Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ghana,GHA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,,,,,,,,,,,2.79582784574457,2.27002659638491,3.39203686650009,4.89071312399019,4.27403557209538,5.35086429113729,5.62367949219877,7.24019963358774,6.11919030645463,5.43915219841292,5.43481860565965,4.98283001008554,7.30858513389561,5.5512194376325,4.65315716366952,3.54102368404054,4.31383320280334,4.73496280722153,4.96423723018425,4.96360170864288,6.19284358068834,4.72856002865777,6.03848829431063,7.07957850526929,9.77592199420396,11.6179003246246,10.9914501176674,10.6042271918338,10.4072478123036,6.40168259712389,10.0306973502773,9.58818747913666,10.0684028088312,14.2031675001723,11.0777791557585,9.4795049446799,5.03919530410403,6.28539640501876,6.60259453278332,7.63607077311959,5.87184066749086,5.67858355540641,6.55568606658012,4.54813835701046,5.97856440292992,7.04140238673441,6.63978221542018,6.21432536864623,3.98804428869637,3.63099663780155,3.75855195744477,3.85323409751269,,
Ghana,GHA,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,,,,,,,,,,,60694776.4965515,53859398.4643494,70733453.0324629,119684704.970887,122885159.398941,149169573.137503,154365236.230778,230093544.355419,223601407.742665,217899255.37887,240564014.422715,209753955.276068,294206378.037013,223221186.213222,203086938.171892,156689205.656005,241629782.452593,233753840.071557,251521427.945035,254826392.643176,357746051.569863,306168351.155555,380889878.138793,414434598.65954,521402174.094611,735646514.417643,746461108.160249,716581636.278775,762760471.307784,483676079.061968,485090653.832283,499240404.066638,607818385.045604,1060612193.19826,961904488.10428,1006110336.15298,1023609897.37298,1551693219.01965,1885836288.06526,1981852465.71258,1859208223.65828,2164352548.32365,2568187135.51518,2777666372.8504,3104077791.80368,3374316753.89214,3582931466.99405,3568992544.90479,2563125498.47518,2379294306.06566,2660176337.11009,2914483928.51617,,
Ghana,GHA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0907622241286323,0.1494545866587221,0.0881957805214327,,0.2436950941245088,0.2419269383871763,0.2437469621511424,0.242908323872324,0.2246636366121522,0.2909172060298603,,,,,,,,,
Ghana,GHA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.85901379977147,51.85901379977147,51.85901379977147,52.298496967566145,52.298496967566145,52.298496967566145,52.298496967566145,53.14230464973192,53.10714599630833,53.950953678474114,54.35527819284521,54.32011953942164,54.724444053792745,55.12876856816384,55.09360991474026,55.49793442911136,55.902258943482465,55.902258943482465,56.2538454777182,56.69332864551288,57.572294981102225,58.45126131669157,59.69365825788873,57.06781532917289,57.39452579766195,56.10231212094576,56.68467434297266,57.35466071899447,55.33589346928013,52.16477937944977,53.26351234947702,52.93043992265096,54.81344818493452,52.758902610530015,54.10242287070406,54.49783774281445,54.0909101696405,54.277658433682,54.77312164894085,54.38452491869562,54.56409642260701,54.31107585479475,53.10698734288477,53.69403885031203,54.84738639360113,55.393019913594955,55.393019913594955,,
Ghana,GHA,Agricultural land (sq. km),AG.LND.AGRI.K2,,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,117000.0,118000.0,118000.0,118000.0,119000.0,119000.0,119000.0,119000.0,120920.0,120840.0,122760.0,123680.0,123600.0,124520.0,125440.0,125360.0,126280.0,127200.0,127200.0,128000.0,129000.0,131000.0,133000.0,135826.95,129852.107,130595.504,127655.201,128980.308,130504.795,125911.292,118695.739,121195.796,120437.923,124722.52,120047.607,123104.653,124004.38,123078.457,123503.384,124630.761,123746.548,124155.145,123579.422,120839.639,122175.416,124799.743,126037.4,126037.4,,
Ghana,GHA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,53.60386555021191,52.85450697769085,53.018200960525554,53.36526582915349,48.799284499929115,49.353492959817785,49.15309418342713,52.709216031270145,49.358359013526176,49.62924813244427,52.61151875341166,49.52688347644,49.730152618267155,46.78533079000074,46.833512367422344,44.69609416621975,44.51029058030449,45.109225014066,42.43671287681719,44.397908472167984,60.068259385665534,58.879999999999995,56.4945226917058,53.94932935916542,52.06847360912982,50.2724795640327,50.90909090909091,47.961630695443645,50.27624309392266,45.79008073817762,47.406639004149376,41.340206185567006,39.75903614457831,40.359168241965975,36.892278360343184,41.161178509532064,39.02439024390244,36.915077989601386,36.47058823529411,,,,,,,,,,,,,,,
Ghana,GHA,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3478.44,3632.38,3562.7125,3578.275,3606.88,3643.91,3923.56,3999.53,4546.5725,3971.215,4574.24,4008.845,3960.315,4272.115,3873.0675,4748.0475,4480.925,4263.62,4339.34,4216.1875,4431.7075,4923.48,4602.7675,4966.565,4920.3875,5159.0,5247.125,5387.2725,5340.68,5435.2275,6015.9825,,,
Ghana,GHA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,73.75829293613954,73.25358056038922,73.33034202475811,73.69488211803713,71.77427514313953,72.76570105189408,72.91721160876658,73.93741542304288,72.41637540265803,73.09092145677928,74.59369238601029,73.14792860142796,74.20712769356385,73.32943167646535,72.72330791862089,71.56217318908175,71.60024426281312,72.14880108340637,71.43502378678778,72.51122599704578,90.22346368715084,89.67391304347827,88.8586956521739,87.96791443850267,87.0026525198939,86.3517060367454,86.88118811881188,86.61800486618006,89.587852494577,85.43689320388349,87.1578947368421,84.04761904761905,82.9326923076923,83.92070484581498,81.86274509803921,84.81262327416174,83.87096774193549,82.4524312896406,82.00836820083683,,,,,,,,,,,,,,,
Ghana,GHA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3169.0214,3244.4154,3207.3442,3228.234,3226.7142,3234.5814,3496.8512,3554.3652,4115.8866,3512.079,4133.6474,3520.7806,3443.4794,3800.8112,3329.6434,4288.22,4154.0604,3893.3998,3918.4318,3745.4726,3980.2668,4365.5212,4217.2364,4561.784,4431.6474,4670.3752,4695.884,5020.3464,4845.629,4948.1708,5811.4172,,,
Ghana,GHA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,12.30164298975872,13.804699433442993,14.450763640485546,12.168139037954116,13.187715514278356,9.789774758021274,9.439999334326004,13.405371260249952,8.661017683078406,9.820976367459698,12.908514523443648,21.08294482046473,13.466237395131053,9.735812673246178,9.231033601329411,8.498728448241826,6.3370224762798895,4.640518950301641,3.5746473475541025,5.882175297256431,2.4534318826798533,3.493439745802348,2.8780773046095933,,,,,,,,8.444341609063214,,,,10.364961303516903,7.8502284253304575,9.456353806512366,10.051822864109733,6.488886515432285,5.25249389426704,,6.3776460903250936,3.3680553055400977,5.178002879562336,2.7609004169533877,5.806078646469931,4.931658222558307,2.3789614726905626,2.5833623012545868,3.646262499172855,1.659978649253821,2.4981303997446593,2.159785168653031,1.6654149869468209,4.983552682670797,1.5796177720265998,1.3814097595471948,1.103999677381249,,1.6144785370164365,1.3448227583434011,1.1158195020624575
