Country Name,Country Code,Year,Adjusted savings: net forest depletion (% of GNI),Adjusted savings: net forest depletion (current US$),Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (constant LCU)","Agriculture, forestry, and fishing, value added (current LCU)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (kg per 2021 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from manufacturing industries and construction (% of total fuel combustion),"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 emissions from transport (% of total fuel combustion),CO2 intensity (kg per kg of oil equivalent energy use),Cereal production (metric tons),Cereal yield (kg per hectare),Combustible renewables and waste (% of total energy),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy related methane emissions (% of total),Fertilizer consumption (kilograms per hectare of arable land),Food exports (% of merchandise exports),Food imports (% of merchandise imports),Food production index (2014-2016 = 100),"Food, beverages and tobacco (% of value added in manufacturing)",Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),GHG net emissions/removals by LUCF (Mt of CO2 equivalent),HFC gas emissions (thousand metric tons of CO2 equivalent),Land under cereal production (hectares),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",PFC gas emissions (thousand metric tons of CO2 equivalent),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",SF6 gas emissions (thousand metric tons of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Women who believe a husband is justified in beating his wife when she burns the food (%)
Ghana,GHA,1995,11.6179003246246,735646514.417643,,57.572294981102225,131000.0,50.2724795640327,3643.91,86.3517060367454,3234.5814,,,38.778590502728434,,,,300600000.0,2506796537.5185547,,65.56621881,24.5681381958,9.8656429942,2.8657865785478545,0.8683333333,13.184495033840204,0.1720294555715007,3000000.0,1187.0,0.1960989785259545,0.0602107156924485,0.0940105555075103,3184.4,0.1826035327739623,2.8037383177570097,0.0,0.0,124.53962264150944,4620.42,14.018691588785048,6.230529595015577,13.084112149532707,0.1976819407008086,7.334,63.862928348909655,0.5733019907641204,1796920.0,1354.1,55.20887354039786,,0.0,0.0,37.87465940054496,3.2333333333333334,,,42.36,,41.25180188098796,93864.35,11.3786675282422,,,1327000.0,3.7852368498,13.3568126066284,5552.96,1040.8,3563.3014,212.5,145.4671745300293,,,,99.6893394375409,79.8,1737.497501272158,30.3,,12775.60428,18.70104222886781,
Ghana,GHA,1996,10.9914501176674,746461108.160249,,58.45126131669157,133000.0,50.90909090909091,3923.56,86.88118811881188,3496.8512,10.364961303516903,1.0345857222749992,38.95508303421027,,,,441700000.0,2700752688.8295107,,65.7489151579,24.427652252,9.8234325902,2.940814081518152,0.8910666667,14.06346136942955,0.1793318878435957,3200000.0,1187.0,0.2050674320238153,0.0629644118504791,0.0965425967208989,3483.3,0.195208364039249,2.2792022792022792,0.0,0.0,118.70679706601469,4855.108,13.96011396011396,6.267806267806267,13.675213675213676,0.1793154034229828,7.334,63.53276353276354,0.6109210882640566,1770069.0,1389.2,54.640274278175816,,0.0,0.0,37.4025974025974,5.4375,40.89778199989726,7.906864762498583,46.17,,40.77907181154961,92788.7,10.7637022925204,-19.0227,,1274130.0,3.8843359489,14.6234819652934,5886.16,1070.6,3837.0512,221.0,198.14481568336123,,,,99.9698204315678,78.8,1698.0488130190467,30.3,,13710.03035,19.062681383547694,
Ghana,GHA,1997,10.6042271918338,716581636.278775,,59.69365825788873,135826.95,47.961630695443645,3999.53,86.61800486618006,3554.3652,7.8502284253304575,1.1332914133239285,35.781597630620546,,,,505000000.0,2465868473.993633,,65.9225213395,24.2941562705,9.78332239,3.015841584158416,0.9138,15.821394040608244,0.1970654760992422,3600000.0,1187.0,0.203662164292848,0.0625329349684623,0.0942556289957543,3604.6,0.1973172819853689,0.8333333333333334,0.0,0.0,128.4732167832168,5511.501,14.166666666666666,6.11111111111111,14.166666666666666,0.1709557109557109,7.334,64.72222222222223,0.6131749426702868,1669220.67,1321.7,53.49492565575416,,0.0,0.0,35.851318944844124,5.921111111111111,37.418878350864496,5.846445843644204,44.85,,40.30634174211128,91713.05,10.3983391039645,,,1262930.0,3.983435048,17.6908458595383,6451.73,1096.7,3903.9452,227.4,307.22227668762025,,,,99.4917223351728,78.3,1658.6344238352883,30.3,,14557.37062,19.36848136079421,
Ghana,GHA,1998,10.4072478123036,762760471.307784,,57.06781532917289,129852.107,50.27624309392266,4546.5725,89.587852494577,4115.8866,9.456353806512366,2.9530569147747197,36.014107308048104,,,,622900000.0,2694600417.016343,,66.0876993166,24.1671412301,9.7451594533,3.090869086798679,0.9365333333,16.033473235475082,0.1949406050043634,3648256.5,1187.0,0.293494574483614,0.0901153005198858,0.1343208265995138,5438.7,0.2906109996479774,22.52747252747253,0.0,0.0,91.61488524590165,5588.508,10.622710622710622,5.311355311355311,10.439560439560438,0.0,0.0,50.91575091575091,0.8248914929616471,1787521.22,1333.8,51.944039361117476,,0.0,0.0,34.033149171270715,4.161988061968779,56.60157359254292,10.230469373777945,48.68,,39.83361167267294,90637.4,10.1960118505064,,,1340140.0,4.0825341471,14.0928638488174,7102.2225,1128.9,4489.1266,245.1,104.10565185546876,,,,77.5303643724696,73.6,1619.0474358456463,30.3,,17303.72079,19.786627909292072,
Ghana,GHA,1999,6.40168259712389,483676079.061968,,57.39452579766195,130595.504,45.79008073817762,3971.215,85.43689320388349,3512.079,10.051822864109733,2.676800128570662,35.7763437934285,,,,736270000.0,2761257561.6085925,,66.2450483008,24.0461463618,9.7088053374,3.165896589768977,0.9592666667,16.245552430341917,0.1927597271097129,3696513.0,1187.0,0.3007775253991018,0.0923514757935702,0.1357331866199231,5818.9,0.3034345005898015,20.136518771331065,0.0,0.0,85.37756838905776,5617.844,11.262798634812286,5.460750853242321,10.068259385665527,0.0,0.0,52.73037542662116,0.8567459564650662,1685991.8,1297.0,51.1112242444002,,0.0,0.0,37.48558246828143,4.167711570336693,51.03031930438503,11.730798272847473,51.59,,39.36088160323459,89561.75,6.26575781484371,,,1299931.0,4.1816332461,9.21900079750451,6575.515,1154.8,3905.259,256.1,41.33557128905886,,,,83.5866752910737,72.8,1580.034949538742,30.3,,16601.92196,20.167690053203067,
Ghana,GHA,2000,10.0306973502773,485090653.832283,,56.10231212094576,127655.201,47.406639004149376,4574.24,87.1578947368421,4133.6474,6.488886515432285,2.3823018787337635,35.27152195930393,,,,957710000.0,1757527265.5201964,,66.3951120163,23.9307535642,9.6741344196,3.2409240924092404,0.982,16.457632064691925,0.1904232904911351,3744769.6,1187.0,0.2467101742547328,0.0757505024867841,0.1088679065263203,4949.5,0.2516843963606929,11.44578313253012,0.0,0.0,92.63327526132404,5317.15,13.654618473895583,10.642570281124495,5.421686746987952,0.0,0.0,58.83534136546184,0.9145419499117802,1710622.41,1309.2,52.77147636068386,,0.0,0.0,34.95850622406639,3.174027048286228,30.14557454924565,12.759219094800272,52.11,,38.888151533796254,88486.1,9.73486409255911,,1.9,1306632.0,4.2807323452,21.4921158097699,7127.54,859.3,4484.8474,217.1,-89.28009033203125,146.1,,,91.4993769901703,71.6,1540.7692109766635,30.3,0.0,16827.71163,20.429737232411146,
Ghana,GHA,2001,9.58818747913666,499240404.066638,,56.68467434297266,128980.308,41.340206185567006,4008.845,84.04761904761905,3520.7806,5.25249389426704,1.9127243791866824,35.2418001245052,,,,1341680000.0,1873056868.233504,,67.1993063297,23.3865972996,9.4140963706,3.330445544554456,1.009125,16.66971125955876,0.1878146932865547,3793026.1,1187.0,0.2609458496343229,0.0801214594872411,0.1126140846451385,5444.5,0.269588732225873,17.7007299270073,0.0,0.0,96.1923188405797,5973.543,11.861313868613138,9.306569343065693,7.664233576642335,0.0,0.0,53.46715328467153,0.983117295550389,1626674.06,1186.1,49.38750684303464,,0.0,0.0,40.618556701030926,8.180012259868183,33.268599046847754,18.199216331330874,54.25,,38.490120418387974,87580.42,9.39320531098542,,,1371450.0,4.3989755885,23.0181003240493,6567.495,802.9,3865.9606,208.1,39.28607177734011,,,,84.0946685328922,69.3,1500.328512525292,30.3,,16155.83018,20.675815252235456,
Ghana,GHA,2002,10.0684028088312,607818385.045604,,57.35466071899447,130504.795,39.75903614457831,3960.315,82.9326923076923,3443.4794,,1.8263552107017504,35.148377061929516,,,,1717420000.0,2167318469.94701,,67.9613992762,22.8709288299,9.1676718938,3.419966996699669,1.03625,16.881790454425598,0.1850478020241131,3841282.6,1187.0,0.305902060971196,0.0939249258783515,0.1299953175299288,6669.7,0.3213024017447264,29.596412556053806,0.0,0.0,87.276576819407,6475.922,12.406576980568012,2.5411061285500747,4.783258594917788,0.0,0.0,50.672645739910315,1.1818147067443077,2155213.75,1349.0,46.86481441367975,,0.0,0.0,40.86345381526104,4.076763318585308,,19.5641722154173,60.07,,38.0920893029797,86674.74,9.85705227600459,,,1597603.0,4.5172188317,16.635918997769,6654.865,766.8,3799.9994,210.5,-78.83386230469114,,,,69.2424034098721,65.7,1459.6552727806663,30.3,,17414.48934,21.0406597514007,
Ghana,GHA,2003,14.2031675001723,1060612193.19826,,55.33589346928013,125911.292,40.359168241965975,4272.115,83.92070484581498,3800.8112,6.3776460903250936,1.652239667084192,36.54540590135389,,,,2417760000.0,2789409804.7450056,,68.6846126719,22.3815681204,8.9338192077,3.5094884488448845,1.063375,17.093869649292433,0.1823547925189481,3889539.1,1187.0,0.2781948636261486,0.085417639432918,0.1159320773751999,6381.0,0.2991629345141197,27.613104524180965,0.0,0.0,93.75793828892004,6684.941,12.792511700468015,2.652106084243371,7.800312012480499,0.0,0.0,49.141965678627145,1.2002025362821396,2040844.47,1396.4,46.822762573341976,,0.0,0.0,39.69754253308129,7.35845540156673,40.17378175954155,16.102347932762733,62.42,32.488755282387636,37.694058187571414,85769.06,13.8961700461814,,,1461534.0,4.635462075,15.3365670963769,7108.665,722.8,4145.8112,196.0,284.72436523437136,,,,66.0659639578375,64.5,1420.566825854541,30.3,,17917.31924,21.570151307971056,13.9
Ghana,GHA,2004,11.0777791557585,961904488.10428,,52.16477937944977,118695.739,36.892278360343184,3873.0675,81.86274509803921,3329.6434,3.3680553055400977,1.3100065087456263,37.95242609300957,,,,3031940000.0,3370713567.0570707,,69.3718477762,21.9165520403,8.7116001834,3.5990099009900987,1.0905,17.305949283642438,0.1797551304995005,3937795.7,1187.0,0.2446077085138232,0.0751049562022976,0.0992659617799596,5924.8,0.2704592310828723,11.14864864864865,0.0,0.0,96.71574018126888,6402.582,15.202702702702704,3.209459459459459,8.783783783783784,0.0,0.0,61.6554054054054,1.1150076492556482,1830250.66,1373.3,44.39504013606462,,0.0,0.0,40.991420400381315,13.40902474955722,52.01391067246863,20.78035321301006,64.59,,37.29602707216314,84863.38,10.8305885965699,,,1332720.0,4.7537053182,10.869153736662,6888.8675,703.3,3675.6434,197.0,208.07913208007992,,,,87.4482530220235,62.4,1383.1546553151209,30.3,,16763.07205,22.21149984890968,
