Country Name,Country Code,Year,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (hectares per person),Average precipitation in depth (mm per year),CO2 emissions (kt),Cereal yield (kg per hectare),Forest area (% of land area),Renewable energy consumption (% of total final energy consumption)
Ghana,GHA,1960,,,40.851553509781354,,,,,,
Ghana,GHA,1961,,51.4195306319768,35.376344086021504,0.2391325172537627,1187.0,,816.4,,
Ghana,GHA,1962,,51.4195306319768,37.89260385005066,0.2334782546594019,1187.0,,809.6,,
Ghana,GHA,1963,,51.4195306319768,35.90909090909091,0.2279357215901922,1187.0,,788.2,,
Ghana,GHA,1964,,51.4195306319768,35.35598705501618,0.2225073807007045,1187.0,,777.6,,
Ghana,GHA,1965,,51.4195306319768,43.519781718963166,0.2171767381740239,1187.0,,809.2,,
Ghana,GHA,1966,,51.4195306319768,43.280632411067195,0.2119791143213339,1187.0,,1088.7,,
Ghana,GHA,1967,,51.4195306319768,40.22606382978723,0.2069111740066985,1187.0,,916.1,,
Ghana,GHA,1968,,51.4195306319768,41.76470588235294,0.2019445598036243,1187.0,,859.3,,
Ghana,GHA,1969,,51.4195306319768,45.92703648175912,0.1969905635726208,1187.0,,824.8,,
Ghana,GHA,1970,,51.4195306319768,46.52501106684374,0.191832559514641,1187.0,,858.2,,
Ghana,GHA,1971,,51.4195306319768,44.16,0.1866311086831989,1187.0,,860.7,,
Ghana,GHA,1972,,51.4195306319768,46.6429840142096,0.181508510827303,1187.0,,867.1,,
Ghana,GHA,1973,,51.4195306319768,48.98600399885747,0.1763998390818409,1187.0,,863.7,,
Ghana,GHA,1974,,51.4195306319768,51.137339055793994,0.1713886076379434,1187.0,,957.1,,
Ghana,GHA,1975,,51.85901379977147,47.662313079689575,0.1763003719546069,1187.0,,834.3,,
Ghana,GHA,1976,,51.85901379977147,50.56696291756053,0.171281660701307,1187.0,,816.7,,
Ghana,GHA,1977,,51.85901379977147,56.20352951715488,0.1662741365384089,1187.0,,832.0,,
Ghana,GHA,1978,,52.298496967566145,60.71190317354427,0.1702016351898151,1187.0,,837.2,,
Ghana,GHA,1979,,52.298496967566145,59.967401318120615,0.1649924993541412,1187.0,,844.2,,
Ghana,GHA,1980,,52.298496967566145,57.92028376738541,0.1601315303534372,1187.0,,717.8,,
Ghana,GHA,1981,,52.298496967566145,53.084294880621265,0.1555724410789849,1187.0,,860.0,,
Ghana,GHA,1982,,53.14230464973192,57.341152791754865,0.1668656340703391,1187.0,,764.0,,
Ghana,GHA,1983,,53.10714599630833,59.73059911540008,0.1617358912968453,1187.0,,517.4,,
Ghana,GHA,1984,,53.950953678474114,49.242869445337654,0.1723816556838316,1187.0,,840.1,,
Ghana,GHA,1985,,54.35527819284521,44.892551479676314,0.1758055906617344,1187.0,,890.7,,
Ghana,GHA,1986,,54.32011953942164,47.77538996427405,0.1717760252487853,1187.0,,984.8,,
Ghana,GHA,1987,,54.724444053792745,50.60053619302949,0.1746933607438862,1187.0,,938.6,,
Ghana,GHA,1988,,55.12876856816384,49.61301222607392,0.1772121891723761,1187.0,,1095.8,,
Ghana,GHA,1989,,55.09360991474026,48.96748126958949,0.1727293907761309,1187.0,,1012.9,,
Ghana,GHA,1990,,55.49793442911136,44.8476174659294,0.1747914252764714,1187.0,2516.9,989.2,43.61545222817966,80.6
Ghana,GHA,1991,,55.902258943482465,45.51047587896993,0.1767289503669997,1187.0,2257.2,1220.8,43.14272215874132,82.9
Ghana,GHA,1992,,55.902258943482465,44.77905721803505,0.1723973601531085,1187.0,2657.6,1042.1,42.66999208930298,81.0
Ghana,GHA,1993,,56.2538454777182,36.93086438883294,0.1682325006805906,1187.0,2696.5,1340.2,42.19726201986463,81.3
Ghana,GHA,1994,,56.69332864551288,37.790585975024015,0.1643110139902613,1187.0,2914.6,1327.5,41.7245319504263,80.6
Ghana,GHA,1995,,57.572294981102225,38.778590502728434,0.1720294555715007,1187.0,3184.4,1354.1,41.25180188098796,79.8
Ghana,GHA,1996,,58.45126131669157,38.95508303421027,0.1793318878435957,1187.0,3483.3,1389.2,40.77907181154961,78.8
Ghana,GHA,1997,,59.69365825788873,35.781597630620546,0.1970654760992422,1187.0,3604.6,1321.7,40.30634174211128,78.3
Ghana,GHA,1998,,57.06781532917289,36.014107308048104,0.1949406050043634,1187.0,5438.7,1333.8,39.83361167267294,73.6
Ghana,GHA,1999,,57.39452579766195,35.7763437934285,0.1927597271097129,1187.0,5818.9,1297.0,39.36088160323459,72.8
Ghana,GHA,2000,,56.10231212094576,35.27152195930393,0.1904232904911351,1187.0,4949.5,1309.2,38.888151533796254,71.6
Ghana,GHA,2001,,56.68467434297266,35.2418001245052,0.1878146932865547,1187.0,5444.5,1186.1,38.490120418387974,69.3
Ghana,GHA,2002,,57.35466071899447,35.148377061929516,0.1850478020241131,1187.0,6669.7,1349.0,38.0920893029797,65.7
Ghana,GHA,2003,,55.33589346928013,36.54540590135389,0.1823547925189481,1187.0,6381.0,1396.4,37.694058187571414,64.5
Ghana,GHA,2004,,52.16477937944977,37.95242609300957,0.1797551304995005,1187.0,5924.8,1373.3,37.29602707216314,62.4
Ghana,GHA,2005,0.0907622241286323,53.26351234947702,37.45301293018359,0.1771818856697514,1187.0,6331.1,1432.3,36.897995956754855,61.4
Ghana,GHA,2006,0.1494545866587221,52.93043992265096,28.333095987362235,0.1746560893381092,1187.0,7798.5,1334.5,36.499964841346575,58.6
